# Kizunama — nomi EN/IT da validare (tier 1)
# Correggi la colonna katakana, poi rimanda il file o il contenuto.
# Per eliminare: katakana = DELETE | Per aggiungere: nuova riga name<TAB>katakana<TAB>lang
# source: validated = già in nameKatakanaDict | conventional = ENAMDICT | proposed = da confermare
# Totale: 541 EN + 323 IT = 864
#
# === English ===
name	katakana	lang	source
aaliyah	アリーヤ	en	validated
aaron	アーロン	en	validated
abigail	アビゲイル	en	validated
adam	アダム	en	validated
addison	アディソン	en	validated
adrian	エイドリアン	en	validated
aiden	エイデン	en	validated
alan	アラン	en	validated
albert	アルバート	en	validated
alexander	アレクサンダー	en	validated
alexandra	アレクサンドラ	en	validated
alfred	アルフレッド	en	validated
alice	アリス	en	validated
allison	アリソン	en	validated
amanda	アマンダ	en	validated
amelia	アメリア	en	validated
amy	エイミー	en	validated
andrea	アンドレア	en	validated
andrew	アンドリュー	en	validated
angela	アンジェラ	en	validated
ann	アン	en	validated
anna	アンナ	en	validated
anthony	アンソニー	en	validated
april	エイプリル	en	validated
aria	アリア	en	validated
ariana	アリアナ	en	validated
arthur	アーサー	en	validated
asher	アッシャー	en	validated
ashley	アシュリー	en	validated
audrey	オードリー	en	validated
aurora	オーロラ	en	validated
austin	オースティン	en	validated
autumn	オータム	en	validated
ava	エヴァ	en	validated
avery	エイヴリー	en	validated
axel	アクセル	en	validated
barbara	バーバラ	en	validated
beatrice	ビアトリス	en	validated
beck	ベック	en	validated
bella	ベラ	en	validated
benjamin	ベンジャミン	en	validated
bennett	ベネット	en	validated
bernard	バーナード	en	validated
bernice	バーニス	en	validated
betty	ベティ	en	validated
beverly	ビバリー	en	validated
billy	ビリー	en	validated
blake	ブレイク	en	validated
bobby	ボビー	en	validated
bonnie	ボニー	en	validated
bradley	ブラッドリー	en	validated
brandon	ブランドン	en	validated
brayden	ブレイデン	en	validated
brenda	ブレンダ	en	validated
brian	ブライアン	en	validated
brielle	ブリエル	en	validated
brooklyn	ブルックリン	en	validated
brooks	ブルックス	en	validated
bruce	ブルース	en	validated
bryan	ブライアン	en	validated
caleb	ケイラブ	en	validated
calvin	カルビン	en	validated
cameron	キャメロン	en	validated
camila	カミラ	en	validated
carl	カール	en	validated
carol	キャロル	en	validated
caroline	キャロライン	en	validated
carolyn	キャロリン	en	validated
carter	カーター	en	validated
catherine	キャサリン	en	validated
cedric	セドリック	en	validated
charles	チャールズ	en	validated
charlie	チャーリー	en	validated
charlotte	シャーロット	en	validated
cheryl	シェリル	en	validated
chester	チェスター	en	validated
chloe	クロエ	en	validated
christian	クリスチャン	en	validated
christina	クリスティーナ	en	validated
christine	クリスティーン	en	validated
christopher	クリストファー	en	validated
cindy	シンディ	en	validated
claire	クレア	en	validated
clifford	クリフォード	en	validated
clyde	クライド	en	validated
cole	コール	en	validated
colton	コールトン	en	validated
connor	コナー	en	validated
constance	コンスタンス	en	validated
cooper	クーパー	en	validated
craig	クレイグ	en	validated
crystal	クリスタル	en	validated
cynthia	シンシア	en	validated
dale	デイル	en	validated
daniel	ダニエル	en	validated
darlene	ダーリーン	en	validated
darrell	ダレル	en	validated
daryl	ダリル	en	validated
david	デイビッド	en	validated
dawn	ドーン	en	validated
dean	ディーン	en	validated
deborah	デボラ	en	validated
debra	デブラ	en	validated
declan	デクラン	en	validated
delilah	デライラ	en	validated
denise	デニース	en	validated
dennis	デニス	en	validated
diana	ダイアナ	en	validated
diane	ダイアン	en	validated
dolores	ドロレス	en	validated
dominic	ドミニク	en	validated
don	ドン	en	validated
donald	ドナルド	en	validated
donna	ドナ	en	validated
doris	ドリス	en	validated
douglas	ダグラス	en	validated
dustin	ダスティン	en	validated
dylan	ディラン	en	validated
earl	アール	en	validated
edgar	エドガー	en	validated
edith	イーディス	en	validated
edward	エドワード	en	validated
edwin	エドウィン	en	validated
eileen	アイリーン	en	validated
elaine	エレイン	en	validated
eleanor	エレノア	en	validated
eliana	エリアナ	en	validated
elias	エリアス	en	validated
elijah	イライジャ	en	validated
elizabeth	エリザベス	en	validated
ella	エラ	en	validated
ellen	エレン	en	validated
ellie	エリー	en	validated
emilia	エミリア	en	validated
emily	エミリー	en	validated
emma	エマ	en	validated
emmett	エメット	en	validated
enzo	エンツォ	en	validated
eric	エリック	en	validated
ernest	アーネスト	en	validated
esther	エスター	en	validated
ethan	イーサン	en	validated
ethel	エセル	en	validated
eugene	ユージーン	en	validated
evan	エヴァン	en	validated
evelyn	エブリン	en	validated
everett	エヴェレット	en	validated
everly	エヴァリー	en	validated
ezra	エズラ	en	validated
finn	フィン	en	validated
florence	フローレンス	en	validated
floyd	フロイド	en	validated
frances	フランセス	en	validated
francis	フランシス	en	validated
frank	フランク	en	validated
fred	フレッド	en	validated
frederick	フレデリック	en	validated
freya	フレイヤ	en	validated
gabriel	ガブリエル	en	validated
gabriella	ガブリエラ	en	validated
gail	ゲイル	en	validated
gene	ジーン	en	validated
genesis	ジェネシス	en	validated
george	ジョージ	en	validated
georgia	ジョージア	en	validated
gerald	ジェラルド	en	validated
geraldine	ジェラルディン	en	validated
gertrude	ガートルード	en	validated
gilbert	ギルバート	en	validated
gladys	グラディス	en	validated
glen	グレン	en	validated
gloria	グロリア	en	validated
gordon	ゴードン	en	validated
grace	グレース	en	validated
grayson	グレイソン	en	validated
gregory	グレゴリー	en	validated
hailey	ヘイリー	en	validated
hannah	ハンナ	en	validated
harold	ハロルド	en	validated
harper	ハーパー	en	validated
harrison	ハリソン	en	validated
harvey	ハーヴェイ	en	validated
hazel	ヘーゼル	en	validated
heather	ヘザー	en	validated
helen	ヘレン	en	validated
henry	ヘンリー	en	validated
herman	ハーマン	en	validated
holly	ホリー	en	validated
howard	ハワード	en	validated
hudson	ハドソン	en	validated
hugh	ヒュー	en	validated
hunter	ハンター	en	validated
ian	イアン	en	validated
ida	アイダ	en	validated
iris	アイリス	en	validated
irving	アーヴィング	en	validated
isaac	アイザック	en	validated
isabella	イザベラ	en	validated
isaiah	アイザイア	en	validated
isla	アイラ	en	validated
ivan	アイヴァン	en	validated
jack	ジャック	en	validated
jackie	ジャッキー	en	validated
jackson	ジャクソン	en	validated
jacob	ジェイコブ	en	validated
jacqueline	ジャクリーン	en	validated
jade	ジェイド	en	validated
james	ジェームズ	en	validated
janet	ジャネット	en	validated
janice	ジャニス	en	validated
jason	ジェイソン	en	validated
jasper	ジャスパー	en	validated
jaxon	ジャクソン	en	validated
jaxson	ジャクソン	en	validated
jayce	ジェイス	en	validated
jayden	ジェイデン	en	validated
jeanette	ジャネット	en	validated
jeffrey	ジェフリー	en	validated
jennifer	ジェニファー	en	validated
jeremy	ジェレミー	en	validated
jerome	ジェローム	en	validated
jerry	ジェリー	en	validated
jesse	ジェシー	en	validated
jessica	ジェシカ	en	validated
jim	ジム	en	validated
jimmy	ジミー	en	validated
joan	ジョーン	en	validated
joanne	ジョアン	en	validated
joe	ジョー	en	validated
joel	ジョエル	en	validated
john	ジョン	en	validated
johnny	ジョニー	en	validated
jon	ジョン	en	validated
jonathan	ジョナサン	en	validated
jordan	ジョーダン	en	validated
jose	ホセ	en	validated
joseph	ジョゼフ	en	validated
josephine	ジョセフィン	en	validated
joyce	ジョイス	en	validated
judith	ジュディス	en	validated
judy	ジュディ	en	validated
julia	ジュリア	en	validated
julian	ジュリアン	en	validated
julie	ジュリー	en	validated
june	ジューン	en	validated
justin	ジャスティン	en	validated
kai	カイ	en	validated
kara	カーラ	en	validated
karen	カレン	en	validated
karl	カール	en	validated
katherine	キャサリン	en	validated
kathleen	キャスリーン	en	validated
kathy	キャシー	en	validated
katie	ケイティ	en	validated
kaylee	ケイリー	en	validated
keith	キース	en	validated
kelly	ケリー	en	validated
kennedy	ケネディ	en	validated
kenneth	ケネス	en	validated
kevin	ケビン	en	validated
kim	キム	en	validated
kimberly	キンバリー	en	validated
kingston	キングストン	en	validated
kinsley	キンズリー	en	validated
kirk	カーク	en	validated
kristen	クリステン	en	validated
kristin	クリスティン	en	validated
krystal	クリスタル	en	validated
lana	ラナ	en	validated
lance	ランス	en	validated
landon	ランドン	en	validated
larry	ラリー	en	validated
latoya	ラトーヤ	en	validated
laura	ローラ	en	validated
lauren	ローレン	en	validated
lawrence	ローレンス	en	validated
layla	レイラ	en	validated
leah	リア	en	validated
lee	リー	en	validated
leo	レオ	en	validated
leonard	レオナード	en	validated
leslie	レスリー	en	validated
lester	レスター	en	validated
levi	リーヴァイ	en	validated
liam	リアム	en	validated
lillian	リリアン	en	validated
lily	リリー	en	validated
lincoln	リンカーン	en	validated
linda	リンダ	en	validated
lindsay	リンジー	en	validated
lisa	リサ	en	validated
lloyd	ロイド	en	validated
logan	ローガン	en	validated
lois	ロイス	en	validated
lonnie	ロニー	en	validated
lorraine	ロレイン	en	validated
louis	ルイ	en	validated
louise	ルイーズ	en	validated
lucas	ルーカス	en	validated
lucy	ルーシー	en	validated
luke	ルーク	en	validated
luna	ルナ	en	validated
luther	ルーサー	en	validated
lyla	ライラ	en	validated
lyle	ライル	en	validated
lynn	リン	en	validated
mabel	メイベル	en	validated
madeline	マデリン	en	validated
madison	マディソン	en	validated
mae	メイ	en	validated
maeve	メイヴ	en	validated
marcia	マーシャ	en	validated
marcus	マーカス	en	validated
margaret	マーガレット	en	validated
marian	マリアン	en	validated
marilyn	マリリン	en	validated
marion	マリオン	en	validated
marjorie	マージョリー	en	validated
mark	マーク	en	validated
marlene	マリーン	en	validated
marshall	マーシャル	en	validated
martha	マーサ	en	validated
martin	マーティン	en	validated
marvin	マーヴィン	en	validated
mary	マリー	en	validated
mason	メイソン	en	validated
mateo	マテオ	en	validated
matthew	マシュー	en	validated
maureen	モーリン	en	validated
maurice	モーリス	en	validated
maverick	マヴェリック	en	validated
max	マックス	en	validated
maxine	マクシン	en	validated
maxwell	マックスウェル	en	validated
maya	マヤ	en	validated
megan	ミーガン	en	validated
melanie	メラニー	en	validated
melissa	メリッサ	en	validated
melody	メロディ	en	validated
melvin	メルヴィン	en	validated
mercedes	メルセデス	en	validated
mia	ミア	en	validated
micah	マイカ	en	validated
michael	マイケル	en	validated
michelle	ミシェル	en	validated
mildred	ミルドレッド	en	validated
miles	マイルズ	en	validated
milton	ミルトン	en	validated
misty	ミスティ	en	validated
mitchell	ミッチェル	en	validated
molly	モリー	en	validated
morgan	モーガン	en	validated
morris	モリス	en	validated
murray	マレー	en	validated
myrtle	マートル	en	validated
nancy	ナンシー	en	validated
naomi	ナオミ	en	validated
natalie	ナタリー	en	validated
natasha	ナターシャ	en	validated
nathan	ネイサン	en	validated
nathaniel	ナサニエル	en	validated
neil	ニール	en	validated
nellie	ネリー	en	validated
nelson	ネルソン	en	validated
nevaeh	ネヴァ	en	validated
nicholas	ニコラス	en	validated
nicole	ニコール	en	validated
nina	ニナ	en	validated
noah	ノア	en	validated
nora	ノーラ	en	validated
norma	ノーマ	en	validated
norman	ノーマン	en	validated
nova	ノヴァ	en	validated
olga	オルガ	en	validated
oliver	オリバー	en	validated
olivia	オリビア	en	validated
oscar	オスカー	en	validated
otis	オーティス	en	validated
owen	オーウェン	en	validated
paige	ペイジ	en	validated
paisley	ペイズリー	en	validated
pamela	パメラ	en	validated
parker	パーカー	en	validated
patricia	パトリシア	en	validated
patrick	パトリック	en	validated
patty	パティ	en	validated
paul	ポール	en	validated
pearl	パール	en	validated
peggy	ペギー	en	validated
penelope	ペネロペ	en	validated
perry	ペリー	en	validated
peter	ピーター	en	validated
philip	フィリップ	en	validated
phillip	フィリップ	en	validated
phyllis	フィリス	en	validated
piper	パイパー	en	validated
pippa	ピッパ	en	validated
preston	プレストン	en	validated
priscilla	プリシラ	en	validated
quinn	クイン	en	validated
rachel	レイチェル	en	validated
ralph	ラルフ	en	validated
ramona	ラモーナ	en	validated
randall	ランドル	en	validated
randy	ランディ	en	validated
ray	レイ	en	validated
raymond	レイモンド	en	validated
reagan	レーガン	en	validated
rebecca	レベッカ	en	validated
regina	レジーナ	en	validated
reginald	レジナルド	en	validated
renee	ルネ	en	validated
rex	レックス	en	validated
rhonda	ロンダ	en	validated
richard	リチャード	en	validated
ricky	リッキー	en	validated
riley	ライリー	en	validated
rita	リタ	en	validated
robert	ロバート	en	validated
roberta	ロバータ	en	validated
robin	ロビン	en	validated
rodney	ロドニー	en	validated
roger	ロジャー	en	validated
roland	ローランド	en	validated
roman	ローマン	en	validated
ron	ロン	en	validated
ronald	ロナルド	en	validated
rosalie	ロザリー	en	validated
rose	ローズ	en	validated
rosemary	ローズマリー	en	validated
ross	ロス	en	validated
rowan	ローアン	en	validated
roxanne	ロクサーヌ	en	validated
roy	ロイ	en	validated
ruben	ルーベン	en	validated
ruby	ルビー	en	validated
rudolph	ルドルフ	en	validated
rufus	ルーファス	en	validated
russell	ラッセル	en	validated
ruth	ルース	en	validated
ryan	ライアン	en	validated
ryder	ライダー	en	validated
sadie	セイディ	en	validated
sally	サリー	en	validated
sam	サム	en	validated
samantha	サマンサ	en	validated
samuel	サミュエル	en	validated
sandra	サンドラ	en	validated
santiago	サンティアゴ	en	validated
sarah	サラ	en	validated
savannah	サバナ	en	validated
sawyer	ソーヤー	en	validated
scarlett	スカーレット	en	validated
scott	スコット	en	validated
sean	ショーン	en	validated
sebastian	ゼバスティアン	en	validated
serenity	セレニティ	en	validated
sharon	シャロン	en	validated
sheila	シーラ	en	validated
shelley	シェリー	en	validated
sherri	シェリー	en	validated
shirley	シャーリー	en	validated
sidney	シドニー	en	validated
silas	サイラス	en	validated
skylar	スカイラー	en	validated
sofia	ソフィア	en	validated
sophia	ソフィア	en	validated
spencer	スペンサー	en	validated
stacey	ステイシー	en	validated
stanley	スタンレイ	en	validated
stella	ステラ	en	validated
stephanie	ステファニー	en	validated
stephen	スティーブン	en	validated
steve	スティーヴ	en	validated
steven	スティーブン	en	validated
stewart	スチュアート	en	validated
stuart	スチュアート	en	validated
sue	スエ	en	validated
susan	スーザン	en	validated
sylvia	シルビア	en	validated
tamara	タマラ	en	validated
tammy	タミー	en	validated
tanya	ターニャ	en	validated
taylor	テイラー	en	validated
ted	テッド	en	validated
teresa	テレサ	en	validated
terry	テリー	en	validated
thelma	テルマ	en	validated
theo	テオ	en	validated
theodore	セオドア	en	validated
theresa	テレサ	en	validated
thomas	トーマス	en	validated
tiffany	ティファニー	en	validated
tim	ティム	en	validated
timothy	ティモシー	en	validated
tina	ティナ	en	validated
todd	トッド	en	validated
tom	トム	en	validated
tommy	トミー	en	validated
toni	トニ	en	validated
tony	トニー	en	validated
tracey	トレイシー	en	validated
tracy	トレイシー	en	validated
travis	トラヴィス	en	validated
troy	トロイ	en	validated
tyler	タイラー	en	validated
vanessa	ヴァネッサ	en	validated
velma	ヴェルマ	en	validated
vera	ヴェラ	en	validated
vernon	ヴァーノン	en	validated
vicki	ヴィッキー	en	validated
vickie	ヴィッキー	en	validated
victor	ヴィクター	en	validated
victoria	ヴィクトリア	en	validated
vincent	ヴィンセント	en	validated
viola	ヴァイオラ	en	validated
violet	ヴァイオレット	en	validated
virginia	ヴァージニア	en	validated
vivian	ヴィヴィアン	en	validated
wallace	ウォレス	en	validated
walter	ウォルター	en	validated
wanda	ワンダ	en	validated
warren	ウォーレン	en	validated
wayne	ウェイン	en	validated
wesley	ウェスレー	en	validated
weston	ウェストン	en	validated
whitney	ウィトニ	en	validated
willard	ウィラード	en	validated
william	ウィリアム	en	validated
willie	ウィリー	en	validated
willow	ウィロー	en	validated
wilma	ウィルマ	en	validated
wilson	ウィルソン	en	validated
woodrow	ウッドロー	en	validated
wyatt	ワイアット	en	validated
xavier	ゼイヴィア	en	validated
yolanda	ヨランダ	en	validated
yvonne	イヴォンヌ	en	validated
zachary	ザカリー	en	validated
zoe	ゾーイ	en	validated
zoey	ゾーイ	en	validated
# === Italian ===
adriana	アドリアーナ	it	validated
agnese	アニェーゼ	it	validated
alberta	アルベルタ	it	validated
alberto	アルベルト	it	validated
aldo	アルド	it	validated
alessandra	アレッサンドラ	it	validated
alessandro	アレッサンドロ	it	validated
alessia	アレッシア	it	validated
alessio	アレッシオ	it	validated
alfonso	アルフォンソ	it	validated
alfredo	アルフレド	it	validated
amalia	アマーリア	it	validated
ambra	アンブラ	it	validated
amedeo	アメデオ	it	validated
angela	アンジェラ	it	validated
angelica	アンジェリカ	it	validated
angelo	アンジェロ	it	validated
annalisa	アンナリーザ	it	validated
annamaria	アンナマリア	it	validated
antonella	アントネッラ	it	validated
antonello	アントネッロ	it	validated
antonietta	アントニエッタ	it	validated
antonino	アントニーノ	it	validated
antonio	アントニオ	it	validated
arianna	アリアンナ	it	validated
armando	アルマンド	it	validated
arturo	アルトゥーロ	it	validated
asia	アシア	it	validated
assunta	アッスンタ	it	validated
attilio	アッティリオ	it	validated
augusto	アウグスト	it	validated
aurelio	アウレリオ	it	validated
aurora	アウローラ	it	validated
barbara	バルバラ	it	validated
bartolomeo	バルトロメオ	it	validated
beatrice	ベアトリーチェ	it	validated
benedetta	ベネデッタ	it	validated
benedetto	ベネデット	it	validated
beniamino	ベニアミーノ	it	validated
bernardo	ベルナルド	it	validated
biagio	ビアージョ	it	validated
bianca	ビアンカ	it	validated
bruno	ブルーノ	it	validated
camilla	カミラ	it	validated
camillo	カミッロ	it	validated
carla	カルラ	it	validated
carlo	カルロ	it	validated
carmela	カルメラ	it	validated
carmelo	カルメロ	it	validated
carmen	カルメン	it	validated
carmine	カルミネ	it	validated
carolina	カロリーナ	it	validated
caterina	カテリーナ	it	validated
catia	カティア	it	validated
cecilia	チェチーリア	it	validated
celeste	チェレステ	it	validated
cesare	チェーザレ	it	validated
chiara	キアラ	it	validated
cinzia	チンツィア	it	validated
clara	クララ	it	validated
clarissa	クラリッサ	it	validated
claudia	クラウディア	it	validated
claudio	クラウディオ	it	validated
clelia	クレリア	it	validated
clemente	クレメンテ	it	validated
concetta	コンチェッタ	it	validated
cosimo	コジモ	it	validated
costantino	コスタンティーノ	it	validated
cristiana	クリスティアーナ	it	validated
cristiano	クリスティアーノ	it	validated
cristina	クリスティーナ	it	validated
damiano	ダミアーノ	it	validated
daniela	ダニエラ	it	validated
dante	ダンテ	it	validated
dario	ダリオ	it	validated
davide	ダヴィデ	it	validated
debora	デボラ	it	validated
demetrio	デメトリオ	it	validated
diana	ディアナ	it	validated
diego	ディエゴ	it	validated
dino	ディーノ	it	validated
domenica	ドメニカ	it	validated
domenico	ドメニコ	it	validated
donatella	ドナテッラ	it	validated
donato	ドナート	it	validated
dorotea	ドロテア	it	validated
edoardo	エドアルド	it	validated
egidio	エジディオ	it	validated
elena	エレナ	it	validated
elio	エリオ	it	validated
elisa	エリーザ	it	validated
elvira	エルヴィーラ	it	validated
emanuela	エマヌエーラ	it	validated
emanuele	エマヌエーレ	it	validated
emilio	エミリオ	it	validated
emma	エマ	it	validated
enrica	エンリカ	it	validated
enrico	エンリコ	it	validated
enzo	エンツォ	it	validated
erica	エリカ	it	validated
ester	エステル	it	validated
ettore	エットレ	it	validated
eugenia	エウジェニア	it	validated
eugenio	エウジェニオ	it	validated
eva	エーヴァ	it	validated
ezio	エッツィオ	it	validated
fabiana	ファビアナ	it	validated
fabio	ファビオ	it	validated
fabiola	ファビオラ	it	validated
fausto	ファウスト	it	validated
federica	フェデリカ	it	validated
federico	フェデリコ	it	validated
ferdinando	フェルディナンド	it	validated
fernanda	フェルナンダ	it	validated
ferruccio	フェッルッチョ	it	validated
filippo	フィリッポ	it	validated
filomena	フィロメーナ	it	validated
fiorella	フィオレッラ	it	validated
flavia	フラヴィア	it	validated
flavio	フラヴィオ	it	validated
flora	フローラ	it	validated
franca	フランカ	it	validated
francesca	フランチェスカ	it	validated
francesco	フランチェスコ	it	validated
fulvio	フルヴィオ	it	validated
gabriele	ガブリエーレ	it	validated
gabriella	ガブリエッラ	it	validated
gaetano	ガエターノ	it	validated
gaia	ガイア	it	validated
gaspare	ガスパレ	it	validated
gemma	ジェンマ	it	validated
gennaro	ジェンナーロ	it	validated
gerardo	ジェラルド	it	validated
giacomo	ジャコモ	it	validated
giancarlo	ジャンカルロ	it	validated
gianfranco	ジャンフランコ	it	validated
gianluca	ジャンルカ	it	validated
gianmarco	ジャンマルコ	it	validated
gianni	ジャンニ	it	validated
gilberto	ジルベルト	it	validated
gina	ジーナ	it	validated
giordano	ジョルダーノ	it	validated
giorgia	ジョルジア	it	validated
giorgio	ジョルジョ	it	validated
giovanna	ジョヴァンナ	it	validated
giovanni	ジョバンニ	it	validated
giulia	ジュリア	it	validated
giuliana	ジュリアーナ	it	validated
giuliano	ジュリアーノ	it	validated
giulio	ジュリオ	it	validated
giuseppe	ジュゼッペ	it	validated
gloria	グロリア	it	validated
grazia	グラツィア	it	validated
gregorio	グレゴリオ	it	validated
greta	グレタ	it	validated
guido	グィード	it	validated
gustavo	グスターヴォ	it	validated
iacopo	ヤコポ	it	validated
ida	イダ	it	validated
ignazio	イニャツィオ	it	validated
ilaria	イラリア	it	validated
ilario	イラリオ	it	validated
ileana	イレアナ	it	validated
ines	イネス	it	validated
irene	イレーネ	it	validated
isabella	イザベッラ	it	validated
ivano	イヴァーノ	it	validated
jacopo	ヤコポ	it	validated
lara	ララ	it	validated
laura	ラウラ	it	validated
lea	レア	it	validated
leandro	レアンドロ	it	validated
leonardo	レオナルド	it	validated
leone	レオーネ	it	validated
leopoldo	レオポルド	it	validated
letizia	レティツィア	it	validated
lidia	リディア	it	validated
liliana	リリアナ	it	validated
linda	リンダ	it	validated
lisa	リサ	it	validated
livia	リヴィア	it	validated
livio	リヴィオ	it	validated
lorena	ロレーナ	it	validated
lorenza	ロレンツァ	it	validated
lorenzo	ロレンツォ	it	validated
loris	ロリス	it	validated
luana	ルアナ	it	validated
luca	ルカ	it	validated
luciano	ルチャーノ	it	validated
lucio	ルーチョ	it	validated
ludovico	ルドヴィーコ	it	validated
luigi	ルイージ	it	validated
luigia	ルイージャ	it	validated
luisa	ルイーザ	it	validated
maddalena	マッダレーナ	it	validated
manuela	マヌエラ	it	validated
mara	マーラ	it	validated
marcella	マルチェッラ	it	validated
marcello	マルチェッロ	it	validated
marco	マルコ	it	validated
margherita	マルゲリータ	it	validated
maria	マリア	it	validated
mariangela	マリアンジェラ	it	validated
mariano	マリアーノ	it	validated
marina	マリーナ	it	validated
marino	マリーノ	it	validated
mario	マリオ	it	validated
marta	マルタ	it	validated
martina	マルティーナ	it	validated
massimo	マッシモ	it	validated
matilde	マチルデ	it	validated
matteo	マッテオ	it	validated
mauro	マウロ	it	validated
melissa	メリッサ	it	validated
michela	ミケーラ	it	validated
michelangelo	ミケランジェロ	it	validated
michele	ミケーレ	it	validated
milena	ミレーナ	it	validated
miriam	ミリアム	it	validated
mirko	ミルコ	it	validated
monica	モニカ	it	validated
morena	モレーナ	it	validated
nadia	ナディア	it	validated
natalia	ナタリア	it	validated
nello	ネッロ	it	validated
niccolo	ニッコロ	it	validated
nico	ニコ	it	validated
nicola	ニコラ	it	validated
nino	ニーノ	it	validated
noemi	ノエミ	it	validated
nora	ノーラ	it	validated
norma	ノーマ	it	validated
nunzio	ヌンツィオ	it	validated
olga	オルガ	it	validated
orlando	オルランド	it	validated
ornella	オルネッラ	it	validated
orsola	オルソラ	it	validated
osvaldo	オスヴァルド	it	validated
ottavia	オッターヴィア	it	validated
ottavio	オッターヴィオ	it	validated
paola	パオラ	it	validated
paolo	パオロ	it	validated
pasquale	パスクワーレ	it	validated
patrizia	パトリツィア	it	validated
patrizio	パトリツィオ	it	validated
piera	ピエーラ	it	validated
pierluigi	ピエルルイージ	it	validated
piero	ピエロ	it	validated
pietro	ピエトロ	it	validated
primo	プリーモ	it	validated
raffaele	ラッファエーレ	it	validated
raffaella	ラッファエッラ	it	validated
raimondo	ライモンド	it	validated
rebecca	レベッカ	it	validated
remo	レーモ	it	validated
renata	レナータ	it	validated
renato	レナート	it	validated
renzo	レンツォ	it	validated
riccardo	リッカルド	it	validated
rino	リノ	it	validated
rita	リタ	it	validated
roberta	ロベルタ	it	validated
roberto	ロベルト	it	validated
rocco	ロッコ	it	validated
rodolfo	ロドルフォ	it	validated
romana	ロマーナ	it	validated
romano	ロマーノ	it	validated
romeo	ロメオ	it	validated
romina	ロミーナ	it	validated
rosa	ローザ	it	validated
rosanna	ロザンナ	it	validated
rosaria	ロザリア	it	validated
rosario	ロザリオ	it	validated
rossana	ロッサーナ	it	validated
rossella	ロッセッラ	it	validated
ruggero	ルッジェーロ	it	validated
sabina	サビーナ	it	validated
sabrina	サブリナ	it	validated
salvatore	サルヴァトーレ	it	validated
samanta	サマンタ	it	validated
sandra	サンドラ	it	validated
sandro	サンドロ	it	validated
sara	サラ	it	validated
saverio	サヴェリオ	it	validated
serena	セレナ	it	validated
